active_power,poa_global,cos_aoi,dni,dhi,temperature,wind_speed
125.946,204.21761458032978,0.3924191304428104,335.55365,73.41436,20.963001,4.8414874
17.749,25.185408066250723,0.171459034454443,60.656788,15.048438,19.513,4.080441
0.0,0.0,0.0,0.0,0.0,17.613,3.0675724
0.0,0.0,0.0,0.0,0.0,16.963001,3.0083218
0.0,0.0,0.0,0.0,0.0,16.813002,3.008322
0.0,0.0,0.0,0.0,0.0,16.613,2.6925824
0.0,0.0,0.0,0.0,0.0,16.613,2.184033
0.0,0.0,0.0,0.0,0.0,16.463001,2.5
0.0,0.0,0.0,0.0,0.0,16.413,2.84605
0.0,0.0,0.0,0.0,0.0,16.413,2.996665
0.0,0.0,0.0,0.0,0.0,16.413,2.7784889
0.0,0.0,0.0,0.0,0.0,17.013,2.84605
0.0,0.0,0.0,0.0,0.0,16.713001,2.9732137
0.0,0.0,0.0,0.0,0.0,16.263,2.84605
0.0,0.0,0.0,0.0,0.0,15.963,2.720294
23.148000000000003,0.0,0.1473490529945748,0.0,0.0,15.363,2.236068
278.771,178.34865542001393,0.3703536378380625,325.69522,58.62392,16.463001,2.4413111
241.109,490.51257756542583,0.5627117078313871,714.0827,89.15072,18.513,1.6401219
166.39700000000002,670.6500947055875,0.711316436905874,806.26746,96.68434,20.563002,1.7804494
672.788,713.4157321539915,0.8060436726749163,727.3856,127.0307,22.313002,2.9681644
783.1290000000001,618.1194319662874,0.8404417611843523,479.64963,217.77895,23.063002,2.624881
550.2909999999999,594.3969900555041,0.812170942944373,485.59787,202.39987,22.813002,2.0024984
252.00600000000003,503.2776422049604,0.723162362218477,499.4924,143.24088,21.913,1.6124516
489.448,386.16375421022326,0.5794858424826097,517.374,86.559586,21.513,2.6
223.188,189.1675060193266,0.39093550750741884,304.54724,71.00869,20.463001,2.0615528
16.052,23.500884758997472,0.17036160685642004,61.449337,13.253823,18.663,0.9433981
0.0,0.0,0.0,0.0,0.0,16.963001,1.2165525
0.0,0.0,0.0,0.0,0.0,16.463001,0.98488575
0.0,0.0,0.0,0.0,0.0,15.713,1.56205
0.0,0.0,0.0,0.0,0.0,15.412999,1.7691805
0.0,0.0,0.0,0.0,0.0,14.963,1.6278821
0.0,0.0,0.0,0.0,0.0,14.563,1.421267
0.0,0.0,0.0,0.0,0.0,14.113,2.1633308
0.0,0.0,0.0,0.0,0.0,14.013,2.302173
0.0,0.0,0.0,0.0,0.0,13.913,2.147091
0.0,0.0,0.0,0.0,0.0,15.363,2.624881
0.0,0.0,0.0,0.0,0.0,15.113,2.6925824
0.0,0.0,0.0,0.0,0.0,14.763,2.2825425
0.0,0.0,0.0,0.0,0.0,14.513,2.5495098
8.809999999999999,0.0,0.14533712496415255,0.0,0.0,14.963,2.7294688
285.01,193.23721959506955,0.36805438864322754,370.85352,57.554714,17.063002,3.482815
65.336,439.50053489290804,0.5602027826212879,612.89825,97.02904,18.463001,4.7423625
562.009,600.1032836477025,0.708690075624316,689.7369,111.57682,19.863,6.074537
806.034,453.98594076823565,0.8034003593363488,355.41998,170.87271,18.113,6.5734315
177.352,447.4659478443764,0.8378832986749147,287.9301,209.6746,18.463001,5.7384667
32.484,315.23567340219506,0.8097934310281557,119.67491,222.82755,17.913,6.963476
31.431,183.8747247345657,0.7210495635765214,16.975956,175.53433,16.713001,5.8898215
223.384,200.33081348013064,0.5777033952007748,105.66276,142.14877,17.563002,4.750789
245.069,145.1882730699598,0.3895263842346477,201.19066,67.892334,17.363,2.8160257
